"name"	"size"	"type"	"directory"
"6a18f41f48d58c3e7b255527af1caf238a9117"	"629"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\a3"
"a5a971e1cf8bd995838de2dbb84da06d71de35"	"592"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\a9"
"a03b9dc68a309f5b6615394cd7384490a59532"	"632"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ab"
"f1b2401e37f8e12302534038c83c5f6d2dbf0a"	"556"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ac"
"9e71cd3786ccf575f8c64a01c9b107e4f183d5"	"98"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ad"
"adbc97b8ae97904046f598e39712e7efcd4e54"	"1076"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\af"
"218e8e6e60b871901cc56f5be29481316dc08d"	"218"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b1"
"22fa823acfa145760e514d49a10ded63fdfaeb"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b2"
"91270269d58188211afe773ea282662cc2eb73"	"1130"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b5"
"d05cdfbd0c28c8a456cb326b7799b7b9bdb22e"	"97"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b6"
"16fb054d68650cf4a42bd99f9a17969d7284b5"	"1268"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b7"
"17d3f6c4c933aa921c277933d8eafd53791dd8"	"117"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b8"
"aa20445a04e0db02d5f41e10fca81c9398444b"	"244"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b8"
"64f9d0548cf28c617ef114883ae925208f71a3"	"441"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b9"
"b22e47a41d14b30d0eb5755919ce544031297a"	"401"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\b9"
"3492e1e53fd21f6ad5e03871921a811e02db29"	"107"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ba"
"9910cc0f765580983e7d5e7f4e5eaa23a369e1"	"1183"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\bc"
"2b7a69cd0996ca5158d89bac5ed44eb09ff988"	"716"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\bf"
"5a83a5d892baedcc2449554e3665f43899eebc"	"244"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\c0"
"56097fc2d8425958d013be0648ed04ba24e0fe"	"1248"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\c1"
"92f0d0391ad584288a6b637326e030ee5f5f0b"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\c3"
"0325bf4ffdda82393803d63cf34a378e496396"	"166"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\c9"
"b5a3e09bda8ee94c6e16d1fa1111aada144010"	"418"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ca"
"eecb4b4c8b8a295d410c01efecf97e5239e855"	"712"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ca"
"8602fb57d97d10b95226fa5a5514657f4470b4"	"817"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\cb"
"42d5e8f7f7ee852fc4f6bf39c495c6a200d09f"	"398"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ce"
"bb0b35360e3a4a34454140724e42fa5f0060dd"	"97"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\ce"
"d12a1f4e3274778bf2938c0b553a44f68d299e"	"183"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\cf"
"eb7a7c4a461d69af96e2dfc9fe88dd48c8e2c1"	"894"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\d0"
